,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600891.SH,20200302,1.13,1.2,1.13,1.19,1.15,0.040000000000000036,3.4783,114942.56,13328.216
1,600891.SH,20200228,1.18,1.18,1.14,1.15,1.18,-0.030000000000000027,-2.5424,86783.0,10027.606
2,600891.SH,20200227,1.18,1.2,1.17,1.18,1.18,0.0,0.0,56901.5,6745.268
3,600891.SH,20200226,1.18,1.2,1.16,1.18,1.2,-0.020000000000000018,-1.6667,75297.01,8925.079
4,600891.SH,20200225,1.15,1.2,1.14,1.2,1.19,0.010000000000000009,0.8403,103465.65,12118.984
5,600891.SH,20200224,1.23,1.24,1.19,1.19,1.25,-0.06000000000000005,-4.8,133419.15,16084.937
6,600891.SH,20200221,1.25,1.27,1.24,1.25,1.26,-0.010000000000000009,-0.7937,63554.48,7960.655
7,600891.SH,20200220,1.24,1.27,1.23,1.26,1.25,0.010000000000000009,0.8,58026.97,7246.137
8,600891.SH,20200219,1.27,1.27,1.24,1.25,1.27,-0.020000000000000018,-1.5748,55431.21,6942.411
9,600891.SH,20200218,1.25,1.3,1.23,1.27,1.25,0.020000000000000018,1.6,72962.2,9213.58
10,600891.SH,20200217,1.23,1.26,1.23,1.25,1.23,0.020000000000000018,1.626,60558.96,7533.987
11,600891.SH,20200214,1.22,1.26,1.21,1.23,1.22,0.010000000000000009,0.8197,48085.0,5930.69
12,600891.SH,20200213,1.25,1.26,1.21,1.22,1.26,-0.040000000000000036,-3.1746,85079.42,10474.786
13,600891.SH,20200212,1.26,1.28,1.22,1.26,1.28,-0.020000000000000018,-1.5625,90004.61,11249.354
14,600891.SH,20200211,1.23,1.28,1.2,1.28,1.22,0.06000000000000005,4.918,130214.0,16143.071
15,600891.SH,20200210,1.17,1.22,1.16,1.22,1.16,0.06000000000000005,5.1724,106485.42,12825.088
16,600891.SH,20200207,1.17,1.17,1.15,1.16,1.17,-0.010000000000000009,-0.8547,65287.89,7572.148
17,600891.SH,20200206,1.17,1.19,1.16,1.17,1.17,0.0,0.0,90970.5,10672.865
18,600891.SH,20200205,1.14,1.21,1.14,1.17,1.19,-0.020000000000000018,-1.6807,167599.98,19736.911
19,600891.SH,20200204,1.19,1.19,1.19,1.19,1.25,-0.06000000000000005,-4.8,22908.0,2726.052
20,600891.SH,20200203,1.25,1.25,1.25,1.25,1.32,-0.07000000000000006,-5.303,1124.0,140.5
21,600891.SH,20200123,1.32,1.32,1.32,1.32,1.39,-0.06999999999999984,-5.036,20103.0,2653.596
22,600891.SH,20200122,1.39,1.39,1.39,1.39,1.46,-0.07000000000000006,-4.7945,16667.0,2316.713
23,600891.SH,20200121,1.53,1.53,1.45,1.46,1.53,-0.07000000000000006,-4.5752,88477.0,13068.706
24,600891.SH,20200120,1.57,1.57,1.52,1.53,1.57,-0.040000000000000036,-2.5478,60857.93,9383.37
25,600891.SH,20200117,1.55,1.64,1.55,1.57,1.57,0.0,0.0,62072.0,9876.44
26,600891.SH,20200116,1.59,1.6,1.56,1.57,1.6,-0.030000000000000027,-1.875,66313.26,10450.875
27,600891.SH,20200115,1.6,1.62,1.58,1.6,1.6,0.0,0.0,57712.0,9215.785
28,600891.SH,20200114,1.63,1.66,1.6,1.6,1.63,-0.029999999999999805,-1.8405,90315.0,14742.021
29,600891.SH,20200113,1.72,1.73,1.62,1.63,1.71,-0.08000000000000007,-4.6784,167568.0,27594.25
30,600891.SH,20200110,1.66,1.71,1.63,1.71,1.63,0.08000000000000007,4.908,278350.01,47018.729
31,600891.SH,20200109,1.56,1.63,1.56,1.63,1.55,0.07999999999999985,5.1613,98654.17,15900.161
32,600891.SH,20200108,1.6,1.61,1.55,1.55,1.61,-0.06000000000000005,-3.7267,111246.25,17549.534
33,600891.SH,20200107,1.6,1.62,1.56,1.61,1.6,0.010000000000000009,0.625,96012.1,15318.04
34,600891.SH,20200106,1.59,1.63,1.56,1.6,1.56,0.040000000000000036,2.5641,119038.5,18991.605
35,600891.SH,20200103,1.49,1.56,1.49,1.56,1.49,0.07000000000000006,4.698,105178.96,16176.645
36,600891.SH,20200102,1.5,1.53,1.48,1.49,1.5,-0.010000000000000009,-0.6667,86340.02,12934.658
37,600891.SH,20191231,1.41,1.5,1.41,1.5,1.43,0.07000000000000006,4.8951,100801.5,14862.522
38,600891.SH,20191230,1.47,1.47,1.41,1.43,1.48,-0.050000000000000044,-3.3784,84827.0,12148.128
