,Unnamed: 0,amount,change,close,high,low,open,pct_chg,pre_close,trade_date,ts_code,vol
0,,573372.922,0.6100000000000012,11.64,11.93,10.78,10.78,5.5304,11.03,20200403,300030.SZ,492632.77
1,,365190.236,0.46999999999999886,11.03,11.03,10.25,10.67,4.4508,10.56,20200402,300030.SZ,340459.58
2,,352745.374,-0.6999999999999993,10.56,11.17,10.55,10.8,-6.2167,11.26,20200401,300030.SZ,326119.89
3,,490884.863,0.20999999999999908,11.26,11.86,10.53,11.0,1.9005,11.05,20200331,300030.SZ,437191.9
4,,442563.749,0.7600000000000016,11.05,11.1,10.45,10.45,7.3858,10.29,20200330,300030.SZ,410780.67
0,0.0,397364.35,0.4099999999999984,10.29,10.5,9.66,10.06,4.1498,9.88,20200327,300030.SZ,388601.12
1,1.0,316681.685,0.3500000000000014,9.88,10.15,9.41,9.41,3.6726,9.53,20200326,300030.SZ,322578.66
2,2.0,233680.60199999998,0.5199999999999996,9.53,9.76,9.01,9.2,5.7714,9.01,20200325,300030.SZ,249088.77
3,3.0,247291.729,-0.21000000000000085,9.01,9.49,8.57,9.37,-2.2777,9.22,20200324,300030.SZ,275548.12
4,4.0,282469.339,-0.8399999999999999,9.22,10.36,9.08,10.17,-8.3499,10.06,20200323,300030.SZ,292483.1
5,5.0,245767.363,0.17999999999999972,10.06,10.21,9.82,9.95,1.8219,9.88,20200320,300030.SZ,243931.51
6,6.0,367379.066,-1.0999999999999996,9.88,10.74,9.88,10.64,-10.0182,10.98,20200319,300030.SZ,364229.72
7,7.0,440798.35299999994,-0.6199999999999992,10.98,11.72,10.98,11.3,-5.3448,11.6,20200318,300030.SZ,393243.37
8,8.0,607759.076,-0.7800000000000011,11.6,12.3,11.15,12.3,-6.3005,12.38,20200317,300030.SZ,529678.23
9,9.0,725113.7170000001,1.1300000000000008,12.38,12.38,11.45,11.58,10.0444,11.25,20200316,300030.SZ,594726.25
10,10.0,515906.326,-0.9900000000000002,11.25,12.23,11.2,11.31,-8.0882,12.24,20200313,300030.SZ,446410.68
11,11.0,633980.5260000001,-0.3100000000000005,12.24,13.43,12.1,13.02,-2.4701,12.55,20200312,300030.SZ,500806.11
12,12.0,667916.421,0.5600000000000005,12.55,12.9,11.3,11.47,4.6706,11.99,20200311,300030.SZ,548843.01
13,13.0,755214.585,-1.1799999999999995,11.99,12.97,11.85,12.7,-8.9598,13.17,20200310,300030.SZ,620486.39
14,14.0,839606.2629999999,1.1999999999999993,13.17,13.17,11.97,12.09,10.0251,11.97,20200309,300030.SZ,663309.66
15,15.0,669470.855,0.91,11.97,12.14,10.97,11.05,8.2278,11.06,20200306,300030.SZ,570942.29
16,16.0,356006.506,-0.029999999999999364,11.06,11.4,10.65,11.08,-0.2705,11.09,20200305,300030.SZ,322266.14
17,17.0,361988.165,-0.5099999999999998,11.09,11.79,10.96,11.49,-4.3966,11.6,20200304,300030.SZ,320295.25
18,18.0,598799.442,-0.2400000000000002,11.6,12.1,11.0,11.27,-2.0269999999999997,11.84,20200303,300030.SZ,516839.39
19,19.0,749311.462,0.3300000000000001,11.84,12.3,10.8,12.25,2.8671,11.51,20200302,300030.SZ,639105.61
20,20.0,599164.145,1.049999999999999,11.51,11.51,10.68,10.99,10.0382,10.46,20200228,300030.SZ,534286.33
21,21.0,388424.636,-0.8099999999999987,10.46,11.17,10.29,10.9,-7.1872,11.27,20200227,300030.SZ,365861.42
22,22.0,746684.684,-0.3800000000000008,11.27,12.41,10.78,11.69,-3.2618,11.65,20200226,300030.SZ,647088.08
23,23.0,713602.8940000001,1.0600000000000005,11.65,11.65,10.8,11.0,10.0094,10.59,20200225,300030.SZ,621295.01
24,24.0,370313.25399999996,0.9599999999999992,10.59,10.59,9.92,10.0,9.9688,9.63,20200224,300030.SZ,354614.38
25,25.0,208136.465,0.19000000000000128,9.63,9.75,9.45,9.5,2.0127,9.44,20200221,300030.SZ,216270.7
26,26.0,282268.6,-0.3800000000000008,9.44,9.8,9.25,9.71,-3.8697,9.82,20200220,300030.SZ,298685.87
27,27.0,284008.803,-0.5800000000000001,9.82,10.29,9.76,10.28,-5.5769,10.4,20200219,300030.SZ,285331.28
28,28.0,387604.51200000005,0.41000000000000014,10.4,10.66,9.88,10.05,4.1041,9.99,20200218,300030.SZ,377761.62
29,29.0,255845.36,0.25,9.99,10.1,9.71,9.77,2.5667,9.74,20200217,300030.SZ,258084.44
30,30.0,308139.877,-0.2400000000000002,9.74,10.2,9.52,10.05,-2.4048,9.98,20200214,300030.SZ,313251.3
31,31.0,407393.653,-0.7400000000000002,9.98,10.65,9.86,10.65,-6.903,10.72,20200213,300030.SZ,399330.11
32,32.0,589772.062,-0.4699999999999989,10.72,11.33,10.07,10.07,-4.2002,11.19,20200212,300030.SZ,560278.82
33,33.0,141476.84699999998,-1.2400000000000002,11.19,11.48,11.19,11.19,-9.9759,12.43,20200211,300030.SZ,125859.0
34,34.0,807301.945,-1.3800000000000008,12.43,14.88,12.43,13.85,-9.9928,13.81,20200210,300030.SZ,607260.25
35,35.0,868192.397,1.2599999999999998,13.81,13.81,12.58,13.81,10.0398,12.55,20200207,300030.SZ,638259.09
36,36.0,309309.357,1.1400000000000006,12.55,12.55,11.64,11.96,9.9912,11.41,20200206,300030.SZ,249508.15
37,37.0,532982.308,1.0400000000000011,11.41,11.41,9.75,10.48,10.0289,10.37,20200205,300030.SZ,486903.01
38,38.0,631897.379,0.9399999999999996,10.37,10.37,9.43,10.37,9.9682,9.43,20200204,300030.SZ,629623.68
39,39.0,34735.763,0.8599999999999994,9.43,9.43,9.43,9.43,10.035,8.57,20200203,300030.SZ,36835.38
40,40.0,329144.684,0.7800000000000002,8.57,8.57,7.94,8.14,10.0128,7.79,20200123,300030.SZ,393061.19
41,41.0,205282.733,-0.08000000000000007,7.79,8.26,7.52,8.0,-1.0165,7.87,20200122,300030.SZ,260912.11
42,42.0,210089.539,0.7199999999999998,7.87,7.87,7.34,7.35,10.0699,7.15,20200121,300030.SZ,271183.61
43,43.0,65628.339,0.41000000000000014,7.15,7.15,6.81,6.82,6.0831,6.74,20200120,300030.SZ,94219.24
44,44.0,21805.958,-0.040000000000000036,6.74,6.85,6.72,6.75,-0.59,6.78,20200117,300030.SZ,32103.78
45,45.0,33588.703,-0.0699999999999994,6.78,6.86,6.67,6.82,-1.0219,6.85,20200116,300030.SZ,49656.04
46,46.0,33882.356,-0.020000000000000462,6.85,6.9,6.75,6.86,-0.2911,6.87,20200115,300030.SZ,49726.05
47,47.0,41891.613,-0.05999999999999961,6.87,6.98,6.85,6.93,-0.8658,6.93,20200114,300030.SZ,60683.19
48,48.0,66982.286,-0.23000000000000045,6.93,7.2,6.83,7.2,-3.2123,7.16,20200113,300030.SZ,96700.3
49,49.0,32941.657999999996,-0.1200000000000001,7.16,7.32,7.13,7.29,-1.6484,7.28,20200110,300030.SZ,45765.47
50,50.0,50254.337999999996,0.0600000000000005,7.28,7.29,7.15,7.24,0.831,7.22,20200109,300030.SZ,69523.65
51,51.0,61831.206,-0.08999999999999986,7.22,7.44,7.18,7.25,-1.2312,7.31,20200108,300030.SZ,84622.09
52,52.0,49274.503,0.07999999999999917,7.31,7.33,7.16,7.23,1.1065,7.23,20200107,300030.SZ,67872.62
53,53.0,40828.059,-0.049999999999999815,7.23,7.32,7.06,7.17,-0.6868,7.28,20200106,300030.SZ,56795.27
54,54.0,40999.526,-0.029999999999999364,7.28,7.46,7.27,7.28,-0.4104,7.31,20200103,300030.SZ,55841.0
55,55.0,63667.139,0.17999999999999972,7.31,7.37,7.14,7.18,2.5245,7.13,20200102,300030.SZ,87702.01
56,56.0,75791.662,-0.2999999999999998,7.13,7.44,7.1,7.34,-4.0377,7.43,20191231,300030.SZ,104840.33
57,57.0,51741.782999999996,0.10999999999999943,7.43,7.43,7.23,7.3,1.5027,7.32,20191230,300030.SZ,70480.34
58,58.0,63350.15900000001,-0.05999999999999961,7.32,7.59,7.22,7.34,-0.813,7.38,20191227,300030.SZ,85492.33
59,59.0,73601.782,-0.11000000000000032,7.38,7.59,7.22,7.4,-1.4686,7.49,20191226,300030.SZ,99778.76
60,60.0,79035.323,-0.1299999999999999,7.49,7.61,7.36,7.58,-1.706,7.62,20191225,300030.SZ,105811.48
61,61.0,114797.55699999999,0.3300000000000001,7.62,7.65,7.22,7.3,4.5267,7.29,20191224,300030.SZ,153677.33
62,62.0,107027.914,0.25,7.29,7.58,7.04,7.08,3.5511,7.04,20191223,300030.SZ,145882.64
63,63.0,65585.177,-0.08000000000000007,7.04,7.17,6.97,7.09,-1.1236,7.12,20191220,300030.SZ,92927.57
64,64.0,119882.10800000001,0.4699999999999998,7.12,7.32,6.65,6.65,7.0677,6.65,20191219,300030.SZ,170325.57
65,65.0,36659.309,-0.11999999999999922,6.65,6.77,6.63,6.72,-1.7725,6.77,20191218,300030.SZ,54832.74
66,66.0,42567.820999999996,-0.07000000000000027,6.77,6.85,6.71,6.79,-1.0234,6.84,20191217,300030.SZ,62837.69
67,67.0,41184.058,0.14999999999999947,6.84,6.84,6.59,6.6,2.2422,6.69,20191216,300030.SZ,61123.97
68,68.0,30619.718999999997,0.03000000000000025,6.69,6.78,6.62,6.66,0.4505,6.66,20191213,300030.SZ,45703.0
69,69.0,28368.175,-0.08000000000000007,6.66,6.79,6.64,6.71,-1.1869,6.74,20191212,300030.SZ,42398.91
70,70.0,48797.876,-0.13999999999999968,6.74,6.86,6.69,6.81,-2.0349,6.88,20191211,300030.SZ,72343.9
71,71.0,61660.375,0.29000000000000004,6.88,6.88,6.46,6.52,4.4006,6.59,20191210,300030.SZ,92095.72
72,72.0,57562.952000000005,-0.08999999999999986,6.59,6.86,6.56,6.68,-1.3473,6.68,20191209,300030.SZ,86297.12
73,73.0,42718.78599999999,0.05999999999999961,6.68,6.7,6.52,6.6,0.9063,6.62,20191206,300030.SZ,64790.46
74,74.0,51554.621,0.1299999999999999,6.62,6.62,6.41,6.47,2.0031,6.49,20191205,300030.SZ,78845.46
75,75.0,40734.649,0.03000000000000025,6.49,6.56,6.35,6.42,0.4644,6.46,20191204,300030.SZ,62977.96
76,76.0,21241.635,0.05999999999999961,6.46,6.47,6.32,6.39,0.9375,6.4,20191203,300030.SZ,33151.85
77,77.0,21472.206000000002,-0.05999999999999961,6.4,6.45,6.35,6.44,-0.9288,6.46,20191202,300030.SZ,33621.17
78,78.0,34347.861000000004,0.05999999999999961,6.46,6.52,6.32,6.4,0.9375,6.4,20191129,300030.SZ,53642.0
79,79.0,41625.587,0.2600000000000007,6.4,6.43,6.07,6.12,4.2345,6.14,20191128,300030.SZ,66082.99
80,80.0,21022.327,0.040000000000000036,6.14,6.27,6.0,6.1,0.6557,6.1,20191127,300030.SZ,34327.09
81,81.0,13472.597,0.05999999999999961,6.1,6.13,6.02,6.05,0.9934,6.04,20191126,300030.SZ,22150.9
82,82.0,30852.564,-0.15000000000000036,6.04,6.21,6.01,6.2,-2.4233,6.19,20191125,300030.SZ,50716.72
83,83.0,35634.625,-0.13999999999999968,6.19,6.38,6.09,6.35,-2.2117,6.33,20191122,300030.SZ,57098.0
84,84.0,30240.216,-0.08999999999999986,6.33,6.46,6.3,6.39,-1.4019,6.42,20191121,300030.SZ,47503.4
85,85.0,40841.5,-0.049999999999999815,6.42,6.57,6.35,6.45,-0.7728,6.47,20191120,300030.SZ,63414.14
86,86.0,41233.634,0.0,6.47,6.52,6.38,6.43,0.0,6.47,20191119,300030.SZ,63944.4
87,87.0,35457.026,0.049999999999999815,6.47,6.5,6.28,6.37,0.7788,6.42,20191118,300030.SZ,55678.77
88,88.0,37824.75,0.29000000000000004,6.42,6.43,6.05,6.14,4.7308,6.13,20191115,300030.SZ,60028.47
89,89.0,13865.906,-0.0600000000000005,6.13,6.21,6.09,6.15,-0.9693,6.19,20191114,300030.SZ,22562.49
90,90.0,29527.248,0.13000000000000078,6.19,6.21,5.99,6.04,2.1452,6.06,20191113,300030.SZ,48255.68
91,91.0,32018.792999999998,-0.040000000000000036,6.06,6.15,5.89,6.02,-0.6557,6.1,20191112,300030.SZ,53201.4
92,92.0,53252.36,-0.4300000000000006,6.1,6.53,6.03,6.53,-6.585,6.53,20191111,300030.SZ,85619.71
93,93.0,43467.335,0.08000000000000007,6.53,6.56,6.39,6.46,1.2403,6.45,20191108,300030.SZ,67007.48
94,94.0,50160.457,0.39000000000000057,6.45,6.63,6.02,6.08,6.4356,6.06,20191107,300030.SZ,78925.93
95,95.0,22653.732999999997,-0.15000000000000036,6.06,6.29,6.01,6.27,-2.4155,6.21,20191106,300030.SZ,36972.0
96,96.0,21439.923,-0.09999999999999963,6.21,6.37,6.18,6.35,-1.5848,6.31,20191105,300030.SZ,34257.72
97,97.0,15175.025,0.0,6.31,6.41,6.18,6.18,0.0,6.31,20191104,300030.SZ,23918.73
98,98.0,19944.199,0.08999999999999986,6.31,6.38,6.16,6.2,1.4469,6.22,20191101,300030.SZ,31643.82
