,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000670.SZ,20200319,2.15,2.25,2.09,2.25,2.14,0.10999999999999988,5.1402,356548.96,78367.754
1,000670.SZ,20200318,2.2,2.28,2.13,2.14,2.24,-0.10000000000000009,-4.4643,334739.16,73538.713
2,000670.SZ,20200317,2.08,2.26,2.08,2.24,2.15,0.0900000000000003,4.186,374057.44,82611.704
3,000670.SZ,20200316,2.16,2.16,2.06,2.15,2.06,0.08999999999999986,4.3689,435915.87,93497.535
4,000670.SZ,20200313,1.9,2.06,1.88,2.06,1.96,0.10000000000000009,5.102,327838.11,66395.445
5,000670.SZ,20200312,1.92,1.97,1.92,1.96,1.95,0.010000000000000009,0.5128,113373.08,22097.232
6,000670.SZ,20200311,1.93,1.99,1.93,1.95,1.94,0.010000000000000009,0.5155,114507.0,22544.032
7,000670.SZ,20200310,1.85,1.95,1.85,1.94,1.91,0.030000000000000027,1.5707,105048.15,20053.307
8,000670.SZ,20200309,1.94,1.96,1.91,1.91,1.99,-0.08000000000000007,-4.0201,136039.15,26241.994
9,000670.SZ,20200306,2.0,2.01,1.96,1.99,1.99,0.0,0.0,122476.31,24356.87
10,000670.SZ,20200305,1.96,1.99,1.95,1.99,1.95,0.040000000000000036,2.0513,115928.01,22907.624
11,000670.SZ,20200304,1.93,1.98,1.9,1.95,1.96,-0.010000000000000009,-0.5102,105103.9,20429.713
12,000670.SZ,20200303,1.93,1.99,1.93,1.96,1.9,0.06000000000000005,3.1579,164455.0,32387.369
13,000670.SZ,20200302,1.89,1.93,1.83,1.9,1.92,-0.020000000000000018,-1.0417,154277.88,29068.173
14,000670.SZ,20200228,1.96,1.99,1.92,1.92,2.02,-0.10000000000000009,-4.9505,163910.0,31829.155
15,000670.SZ,20200227,2.0,2.09,1.98,2.02,2.01,0.010000000000000231,0.4975,144045.18,29270.054
16,000670.SZ,20200226,1.94,2.07,1.94,2.01,1.97,0.039999999999999813,2.0305,248855.46,50405.397
